book_num,sentence
4,that could bit cleaning scourgify she point wand hedwig cage feather dropping vanish
4,locomotor trunk
4,bill take wand mutter evanesco scroll vanish
4,see I ave left say mundungus lean forward plead note voice I ad business opportunity
4,because ministry magic still voldemort know animagus wormtail tell big disguise useless
4,something bad avada kedavra
4,but anything bad avada kedavra curse say ron
4,no riddikulus
4,riddikulus
4,riddikulus
4,pull wand say firmly clearly riddikulus
4,scourgify
4,evanesco
4,right well I think tackle essay sprout selffertilize shrub first lucky able start mcgonagall inanimatus conjurus lunch
4,you know probably try get homework do week harry muttered ron finally lay aside professor mcgonagall long essay inanimatus conjurus spell turn miserably professor sinistra equally long difficult essay jupiter moon
4,reparo harry mutter point wand break piece china
4,but twentyeight we none we animagus need much invisibility cloak invisibility marquee
4,harry point wand bullfrog hop hopefully toward side table accio zoom gloomily back hand
4,silencio
4,silencio say hermione hastily point wand harry frog deflate silently
4,silencio
4,silencio
4,silencio
4,silencio the raven continue open close sharp beak sound come
4,er silencio
4,he pull wand tap glass say impervius
4,if could keep rain face would really help visibility together come impervius
4,they squelch deepen mud middle pitch visibility still poor even impervius charm light fade fast curtain rain sweeping ground
4,I think first thing expelliarmus know disarm charm
4,I think expelliarmus exactly go help we youknowwho
4,the room suddenly full shout expelliarmus wands fly direction miss spell hit book shelf send fly air
4,expelliarmus say neville harry catch unawares feel wand fly hand
4,he blow whistle everybody stop shout expelliarmus last couple wand clatter floor
4,he could hear girl voice scream malfoy yell george swear whistle blow bellow crowd around care somebody vicinity yelled impedimenta knock backward force spell abandon attempt punch every inch malfoy could reach
4,so bowed outta way go find nice little cave ter spend night followin mornin go back time find karkus sittin waitin fer us lookin eager
4,that night fight break see mouth cave lookin valley
4,spend couple day lyin low cave watchin
4,yeah third night karkus kill crept outta cave bin hidin head back inter gully keepin eye skin fer death eater
4,cave must cramp say ron
4,the room soon full intermittent cry impedimenta people freeze minute partner would stare aimlessly around room watch pair work would unfreeze take turn jinx
4,he raise wand murmur portus moment kettle tremble glow odd blue light quiver rest solidly black ever
4,accio butterbeer
4,perhaps animagus
4,perhaps voldemort animagus
4,the healer point wand door janus thickey ward mutter alohomora the door swung open lead way inside keep firm grasp gilderoy arm settle armchair beside bed
4,legilimen
4,let go count three one two three legilimen
4,legilimen
4,bode injure workplace accident week prior death
4,bode whose health improve steadily prior tragic accident
4,otherwise well know I inform authority unregistere animagus
4,one two three legilimen
4,protego
4,reparo hiss snape jar seal
4,harry time gather together attempt clear mind snape already cry legilimen
4,professor flitwick go scurry wand hold squeak locomotor trunks professor trelawney luggage rise air proceed staircase professor flitwick bring rear
4,firecracker explode like mine everywhere harry look instead burn fade sight fizzling halt pyrotechnical miracle seem gain energy momentum long watch
4,they school unless something stupefy
4,accio
4,snape react fast though expect attack drop bag plunge hand inside robe wand halfway air james shout expelliarmus
4,impedimenta say point wand snape knock foot halfway dive toward fall wand
4,scourgify
4,disentangle robe get quickly foot wand sirius say petrificus totalus snape keel rigid board
4,so even bewitch door alohomora work I bet
4,and umbridge could say word raise wand say together accio broom
4,reparo say hermione quickly mend ron cup wave wand
4,they murmur lumos wand tip ignite
4,expecto patronum
4,harry see longfingere white hand clutch wand rise end arm hear high cold voice say crucio
4,be quiet shout hermione late umbridge pointed wand magorian scream incarcerous
4,flagrate
4,she point wand place lock would ordinary door say alohomora
4,the word hardly mouth female death eater shriek accio proph
4,he shout protego finish spell though glass sphere slip tip finger manage cle
4,five different voice behind bellow reducto five curse fly five different direction shelf opposite explode hit
4,something heavy strike side face merely duck head sprint onward hand catch shoulder hear hermione shout stupefy hand release
4,colloportus gasp hermione door seal odd squelching noise
4,alohomora
4,poke wand desk shout stupefy
4,avada
4,neville overturned desk anxiety help point wand wildly struggle pair cry expelliarmus
4,harry flung sideways neville take aim shout stupefy
4,stupefy scream hermione catch
4,accio wand cry hermione
4,with cry triumph yelled impedimenta
4,silencio cry hermione man voice extinguish
4,petrificus totalus shout harry second death eater raise wand
4,harry seize chance petrificus totalus
4,colloportus shout harry hear three body slam door side
4,colloportus
4,honest harry brain look accio brain
4,diffindo yell harry try sever feeler wrap tightly around ron eye would break
4,crucio
4,the man relinquish harry howl pain harry whirl around face gasp stupefy
4,tarantallegra shout wand point neville whose leg go immediately kind frenzied tap dance unbalance cause fall floor
4,he make slash movement wand use hermione harry yelled protego
4,accio proph
4,spring harry yelled petrificus totalus once dolohov arm leg snap together keel backward landing crash back
4,malfoy point wand instead neville harry jabbed wand back shoulder yelled impedimenta
4,here say lupin quietly point wand neville leg say finite the spell lift
4,the brain slip slide begin spin long colored tentacle shout wingardium leviosa fly air away
4,he fling behind fountain bellow crucio
4,she scream crucio force duck centaur arm hold bow spin land crash floor short distance golden wizard head
4,stupefy yelled harry
4,protego
4,you ve get it potter and you will give it to I accio prophecy
4,accio prophecy
4,master I sorry I know I fight animagus black sob bellatrix fling voldemort foot pace slowly nearer
4,avada kedavra
4,he point wand mutter portus the head glow blue tremble noisily wooden floor second become still
4,but I sufficiently accomplish legilimen know I lie I persuade tell full story I leave department mystery
4,up cave like sirius
4,don stupid much quick I pack
5,fool dark lord greatest wizard accomplish legilimen world ever see
5,lumos
5,you join order teach hogwart say harry could quite keep note derision voice it hard sympathize slughorn cosseted existence remember sirius crouch cave living rat
5,at beauxbaton say fleur complacently ad different way thing
5,anapneo say slughorn calmly point wand belby whose airway seem clear
5,petrificus totalus
5,then remember wizard like dumbledore could perform spell without speak try summon wand fall hand say word accio wand head nothing happen
5,she pull open train door leapt onto platform seem slide underneath train gather momentum
5,episkey say tonk
5,alohomora say confidently point wand padlock nothing happen
5,she raise wand say tergeo siphon dried blood
5,he get new home mountain dumbledore fix nice big cave
5,he turn wand harry fast harry react instinctively think nonverbal spell forget yelled protego
5,specialis revelio say rap smartly front cover
5,merope stumble across room time raise wand ogden lift say firmly reparo the pot mend instantly
5,both harry ogden yell no time ogden raise wand cry relashio gaunt throw backward away daughter trip chair fall flat back
5,and suppose practice aguamenti charm flitwick
5,he pull old copy advanced potionmake bag tap cover wand mutter diffindo the cover fall
5,he swap cover tap say reparo
5,there hex cause toenail grow alarmingly fast try crabbe corridor entertaining result jinx glue tongue roof mouth twice use general applause unsuspecte argus filch perhaps useful muffliato spell fill ear anyone nearby unidentifiable buzz lengthy conversation could hold class without overheard
5,the person find charm amusing hermione maintain rigidly disapprove expression throughout refuse talk harry use muffliato spell anyone vicinity
5,levicorpus nvbl
5,point wand nothing particular give upward flick say levicorpus
5,he grope potion book riffle panic try find right page last locate decipher one cramp word underneath spell pray counterjinx harry think liberacorpus
5,and mrs cole take another swig gin slop little chin time summer outing take know year countryside seaside well amy benson dennis bishop never quite right afterwards ever get go cave tom riddle
5,the little story strangle rabbit young boy girl lure cave suggestive
5,okay professor start say ron add quietly turn away use muffliato harry
5,reparo say hastily poke piece wand bowl spring back together
5,I fix say harry land beside two girl point wand demelza mouth say episkey and ginny call ron prat captain team
5,oppugno come shriek doorway
5,one levicorpus
5,as far I aware know day riddle die avada kedavra curse usually leave sign damage
5,ernie macmillan however mutter specialis revelio cauldron sound impressive harry ron hastened imitate
5,harry react instinctively wand pocket incantation spring mind without conscious thought levicorpus
5,harry pointed wand hastily door madam pomfrey office mutter muffliato would come run
5,harry aim wand peeve say langlock peeve clutch throat gulp swooped room make obscene gesture unable speak owe fact tongue glue roof mouth
5,yeah I say harry glance toward madam pomfrey office door check muffliato spell still work sign hear commotion
5,she tap broken scale wand say reparo the girl say thank remain rooted spot pass watch sight ron glance back
5,he find incantation sectumsempra scrawl margin intriguing word for enemy itching try think good front hermione
5,sectumsempra
5,exhausted delighted night work harry tell ron hermione everything happen next morning charm lesson first cast muffliato spell upon nearest
5,harry put book away notice corner page fold turning see sectumsempra spell caption for enemy mark week previously
5,malfoy hex miss harry inch shatter lamp wall beside harry throw sideways think levicorpus
5,sectumsempra bellow harry floor wave wand wildly
5,but call sectumsempra spell good ginny look land
5,I sure though I think rule snake I believe hidden cave coast many mile cave I try locate long time cave tom riddle terrorize two child orphanage annual trip remember
5,the cave
5,lumos say dumbledore reach boulder close cliff face
5,when harry reach spot find step lead large cave
5,dumbledore stand middle cave wand hold high turn slowly spot examine wall ceiling
5,dumbledore approach wall cave caress blacken fingertip murmur word strange tongue harry understand
5,twice dumbledore walk right around cave touch much rough rock could occasionally pause run finger backward forward particular spot finally stop hand press flat wall
5,dumbledore step back cave wall point wand rock
5,thank say harry gratefully dumbledore already turn attention back solid cave wall
5,harry expect clear throat say loudly wand aloft accio horcrux
5,no say harry shake dumbledore dead say poison wake wake rennervate cry wand point dumbledore chest flash red light nothing happen
5,rennervate sir please
5,aguamenti shout jab goblet wand
5,but I wait aguamenti say harry pointing wand goblet
5,aguamenti aguamenti aguamenti
5,petrificus totalus yell harry struggle cle smooth soak surface island point wand inferius arm it release fall backward water splash scramble foot many inferi already climb onto rock bony hand claw slippery surface blank frosted eye upon trail waterlogge rag sink face leer
5,petrificus totalus harry bellow back away swipe wand air six seven crumpled come toward
5,impedimenta
5,incarcerous
5,still slash air wand harry yell sectumsempra sectumsempra
5,they cross outer cave harry help dumbledore back icy seawater fill crevice cliff
5,accio rosmerta broom
5,the door burst open somebody erupt shout expelliarmus
5,he could understand happen expelliarmus freeze charm
5,but moment renew sound scuffling voice shout they block stair reducto
5,reducto
5,avada kedavra
5,petrificus totalus
5,petrificus totalus
5,harry see red hair fly like flame front ginny lock combat lumpy death eater amycus throw hex hex dodge amycus giggle enjoy sport crucio crucio dance forever pretty
5,impedimenta yell harry
5,impedimenta yell roll crouch close dark ground miraculously jinx hit one stumble fall trip harry leapt foot sprint snape
5,harry tore past hagrid opponent take aim snape back yelled stupefy
5,but snape parried curse knock harry backward foot could complete harry roll scramble back huge death eater behind yell incendio harry hear explosive bang dance orange light spill hagrid house fire
5,we put house say harry charm aguamenti
5,know summat like mumble hagrid raise smolder pink flowery umbrella say aguamenti
5,harry raise wand arm feel like lead murmur aguamenti together hagrid pour water house last flame extinguish
5,harry remember snape mend malfoy sectumsempra wound easily wand
5,the avada kedavra harry go
5,we try everything lumos incendio say ginny
5,he know I use sectumsempra
6,avada kedavra
6,wriggle around cry stupefy red bolt light shoot wand cleave gap four pursue death eater scatter avoid
6,reparo
6,in desperation harry pointed wand sidecar shout wingardium leviosa
6,I comin harry hagrid yell darkness harry could feel sidecar beginning sink crouch low could point middle oncoming figure yelled impedimenta
6,as soar upward away two remain death eater harry spat blood mouth point wand fall sidecar yell confringo
6,expelliarmus harry yell
6,it he could see hear voldemort glimpse another death eater swooping way hear avada
6,hagrid accio hagrid
6,stan I stun fall die I use avada kedavra
6,expelliarmus save voldemort two year ago harry add defiantly
6,expelliarmus useful spell harry death eater seem think signature move I urge let become
6,sectumsempra always speciality snape
6,of course none guest death eater guarantee zat zey let something slip zey ave ad champagne
6,hastily pull wand point rag say tergeo
6,descendo mutter ron pointing wand low ceiling
6,you know accio
6,harry seize wand lie beside camp bed point cluttered desk leave glass say accio glass although around foot away something immensely satisfy see zoom toward least poke eye
6,muffliato whisper wave wand direction stair
6,as push way across dance floor harry see cloak mask figure appear crowd see lupin tonk wand raise hear shout protego cry echo side
6,the force death eater spell shatter tile wall ron head harry still invisible yelled stupefy
6,expulso bellow death eater table behind harry standing blew the force explosion slam wall feel wand leave hand cloak slip
6,petrificus totalus scream hermione sight death eater fall forward like statue land crunch thud mess break china table coffee
6,diffindo
6,she take deep calm breath point wand dolohov forehead say obliviate
6,before go far I think well check whisper hermione raise wand say homenum revelio
6,on landing whisper lumos start climb stair wandlight
6,hermione point wand handle say alohomora there click door swung open
6,she raise wand say accio locket
6,like voldemort put stone basin cave say harry remember unable summon fake locket
6,the dark lord tell kreacher take kreacher cave beside sea
6,and beyond cave cavern cavern great black lake
6,but apparate cave say harry otherwise dumbledore
6,and little later master regulus come find kreacher cupboard one night master regulus strange usually disturb mind kreacher could tell ask kreacher take cave cave kreacher go dark lord
6,the elf lie floor pant shiver green mucus glisten around snout bruise already bloom pallid forehead strike eye swollen bloodshot swimming tear
6,expelliarmus
6,aguamenti screamed hermione jet water stream wand engulf splutter choke mundungus
6,open proceed force paint inside despite fact patently large fit inside tiny bag within second vanish like much else bag capacious depth
6,try finite incantatem say hermione stop rain hex curse something go wrong atmospheric charm difficult fix interim measure try impervius protect belonging
6,the silence press upon there bustle talk swift footstep purplecarpete corridor hush though muffliato charm cast place
6,then turn face room raise wand murmur accio locket
6,do try meteolojinx recanto
6,meteolojinx recanto whisper ron
6,he think cast muffliato charm upon umbridge yaxley even murmur word might cause hermione alarm
6,he raise wand even troubling keep conceal beneath invisibility cloak say stupefy
6,he try draw wand late stupefy
6,expecto patronum
6,diffindo nothing happen
6,I know harry wakes locket go I need duplicate geminio
6,relashio
6,expec expecto patronum say hermione
6,expecto patronum
6,accio dittany
6,salvio hexia protego totalum repello muggletum muffliato you could get tent harry
6,erecto add point wand misshapen canvas one fluid motion rise air settle fully construct onto ground harry whose startled hand tent peg soar land final thud end guy rope
6,cave inimicum hermione finish skyward flourish
6,you cast muffliato charm we right whisper hermione
6,I everything whisper back muffliato mugglerepelle disillusionment charm
6,accio salmon
6,obscuro
6,protego cry invisible shield expand harry one side ron force backward step strength spell harry ron glare either side transparent barrier though see clearly first time
6,as bathilda fumble log fire mutter tergeo the dust vanish photograph see half dozen miss large ornate frame
6,lumos say harry wand ignite
6,accio accio wand
6,the snake lunge take run leap drag hermione strike hermione screamed confringo spell fly around room explode wardrobe mirror ricochet back bounce floor ceiling harry feel heat sear back hand
6,avada kedavra
6,avada kedavra
6,lumos
6,expelliarmus
6,lumos whisper wandtip ignite
6,he point wand silvery shape murmur accio sword
6,diffindo
6,protego
6,engorgio
6,sorry reducio
6,homenum revelio say voice foot stair
6,obliviate cry hermione point wand first face floor beneath
6,deprimo
6,protego totalum salvio hexia
6,cave inimicum didn I say erumpent horn I tell
6,stupefy scream
6,stupefy
6,crucio
6,relashio say ron pointing wand silver hand nothing happen pettigrew drop knee moment hermione give dreadful scream overhead
6,expelliarmus roar point wormtail wand bellatrix fly air catch harry sprinted ron
6,lucius narcissa draco greyback wheel harry yelled stupefy lucius malfoy collapse onto hearth
6,as ron run pull hermione wreckage harry take chance he leapt armchair wrest three wand draco grip point greyback yelled stupefy the werewolf lift foot triple spell fly ceiling smash ground
6,priori incantatem say harry
6,know second harry point draco wand guard turn murmured confundo twice
6,harry raise hawthorn wand beneath cloak point old goblin whisper first time life imperio
6,harry act without think point wand traver mutter imperio
6,imperio
6,imperio harry say voice echo stone passage feel sense heady control flow brain wand
6,harry I think I hear people come say hermione point bellatrix wand waterfall cry protego they see shield charm break flow enchant water fly passageway
6,lumos
6,accio cup cry hermione evidently forget desperation griphook tell plan session
6,she raise wand point harry whispered levicorpus
6,impervius screech hermione attempt protect ron goblin burn metal
6,liberacorpus yell harry crash griphook land surface swell treasure sword fly harry hand
6,stupefy bellow ron hermione join jet red light flew crowd goblin topple other advance harry see several wizard guard run around corner
6,point wand thick cuff chain beast floor yell relashio
6,harry eye shut tight heat dust deafen crash rock dragon roar could cling back expect shake moment hear hermione yell defodio
6,and could boy anybody else know cave penetrate protection
6,accio cloak roar one death eater
6,it ron hermione thought whisper expecto patronum
6,you idiot expecto patronum
6,he hide cave grawp ever since try arrest
6,he move along tunnel first cave
6,as amycus spin around harry shout crucio
6,before harry luna could act professor mcgonagall rise foot point wand groggy death eater say imperio
6,protego horribilis diadem ravenclaw squeak flitwick
6,piertotum oh heaven sake filch
6,and piertotum locomotor cry professor mcgonagall
6,hear youknowwho cave say hagrid grimly
6,accio diadem cry hermione desperation nothing fly air toward
6,with whiplike movement crabbe point wand fiftyfoot mountain old furniture break trunk old book robe unidentifiable junk shout descendo
6,ron harry bellow somewhere sight hermione scream harry hear innumerable object crash floor side destabilize wall he point wand rampart cry finite steady
6,crucio
6,avada kedavra
6,expelliarmus
6,crabbe wheel around screamed avada kedavra
6,aguamenti harry bawl jet water soar tip wand evaporate air
6,two mask death eater stand even wand fully raise hermione shout glisseo
6,duro cry hermione pointing wand tapestry two loud sickening crunch tapestry turn stone death eater pursue crumple
6,ron look around direct wand twig ground say wingardium leviosa the twig fly ground spun air catch gust wind zoom directly trunk willow ominously sway branch
6,with difficulty drag murmur nox extinguish wandlight continue hand knee silently possible sense strain expect every second discover hear cold clear voice see flash green light
6,expecto patronum
6,sectumsempra shout snape
6,he lower shake hand raise draco wand beneath cloak murmur lumo
6,crucio
6,protego roar harry shield charm expand middle hall voldemort stare around source harry pull invisibility cloak last
6,avada kedavra
6,expelliarmus
6,he lay broken wand upon headmaster desk touch tip elder wand say reparo
