book_num,paragraph
1,a jet silver light hit malfoy stomach double wheezing I say disarm lockhart shout alarm head battle crowd malfoy sank knee harry hit tickling charm could barely move laugh harry hang back vague feeling would unsporte bewitch malfoy floor mistake gasp breath malfoy point wand harry knee choke tarantallegra next second harry leg begin jerk around control kind quickstep stop stop scream lockhart snape take charge
1,stop stop scream lockhart snape take charge finite incantatem shout harry foot stop dance malfoy stop laugh able look a haze greenish smoke hover scene both neville justin lie floor pant ron hold ashenface seamus apologize whatever broken wand do hermione millicent bulstrode still move millicent hermione headlock hermione whimpering pain wand lie forget floor
1,but lockhart listen three two one go shout malfoy raise wand quickly bellow serpensortia the end wand explode harry watch aghast long black snake shot fall heavily onto floor raise ready strike
1,but hermione pull wand bag it might invisible ink whisper she tap diary three time say aparecium nothing happen undaunted hermione shove hand back bag pull appear bright red eraser
1,when I look say malfoy wave diary tauntingly harry percy say as school prefect harry lost temper he pull wand shout expelliarmus snape disarm lockhart malfoy find diary shoot hand air ron grinning broadly catch harry say percy loudly
1,there would need pitchdark forest c mon fang go walk say harry pat leg fang bound happily house behind dash edge forest lift leg large sycamore tree harry take wand murmur lumos tiny light appear end enough let watch path sign spider good thinking say ron I light mine know probably blow something
1,I never sell another book harry reach wand time lockhart barely raise harry bellow expelliarmus lockhart blast backward fall trunk wand fly high air ron catch fling open window shouldn let professor snape teach we one say harry furiously kick lockhart trunk aside
1,under lake probably say ron squint around dark slimy wall all three turn stare darkness ahead lumos harry muttered wand lit c mon say ron lockhart go footstep slap loudly wet floor the tunnel dark could see little distance ahead
1,the adventure end boy say I shall take bit skin back school tell I late save girl two tragically lose mind sight mangle body say goodbye memory he raise ron spellotape wand high head yell obliviate the wand explode force small bomb harry flung arms head run slip coil snake skin way great chunk tunnel ceiling thunder floor
2,harry squint black alleyway if would move know whether stray cat something else lumos harry muttered light appear end wand almost dazzle he hold high head pebbledashe wall number two suddenly sparkle garage door gleam harry saw quite distinctly hulk outline something big wide gleam eye harry step backwards
2,most em know wiv youknow oo go come quiet but sirius black I eard think e secondincommand youknow oo ad take anyway cornered black middle street full muggle black take wand e blast alf street apart wizard get dozen muggle get way orrible eh
2,I blow meself I set foot place serve right mind they ad job coverin din ern stan say ole street blow muggle dead what say ad appene ern
2,they ad job coverin din ern stan say ole street blow muggle dead what say ad appene ern gas explosion grunt ernie an e say stan examine newspaper picture black gaunt face
2,ear arry potter blow aunt we ad I m ere knight bus di n ern e tryin run he harry broken wizard law like sirius black
2,this useful little spell tell class shoulder please watch closely he raise wand shoulder height say waddiwasi point peeve with force bullet wad chew gum shoot keyhole straight peeve leave nostril whirl right way zoom away curse cool sir say dean thomas amazement
2,what need force assume shape find amusing we practise charm without wand first after please riddikulus riddikulus say class together good say professor lupin
2,we practise charm without wand first after please riddikulus riddikulus say class together good say professor lupin very good
2,yes say neville uncertainly plainly wonder come next when boggart burst wardrobe neville see assume form professor snape say lupin and raise wand thus cry riddikulus concentrate hard grandmother clothe if go well professor boggart snape force vulturetoppe hat green dress big red handbag there great shout laughter
2,snape round there another crack stand bloodstaine bandage mummy sightless face turn parvati begin walk towards slowly drag foot stiff arm rise riddikulus cry parvati a bandage unravel mummy foot become entangle fall face forwards head roll seamus roar professor lupin
2,where mummy woman floorlength black hair skeletal greentinged face banshee she open mouth wide unearthly sound fill room long wail shriek make hair harry head stand end riddikulus shout seamus the banshee make rasp noise clutch throat voice go crack
2,crack the eyeball become sever hand flipped begin creep along floor like crab riddikulu yelled dean there snap hand trap mousetrap excellent
2,for moment harry think ron frozen then riddikulus bellow ron spider leg vanish it roll lavender brown squealed run way come halt harry foot he raise wand ready
2,the legless spider vanish for second everyone look wildly around see then see silverywhite orb hang air front lupin say riddikulus almost lazily crack forward neville finish say lupin boggart land floor cockroach
2,snape back this time neville charge forward look determined riddikulus shout split second view snape lacy dress neville let great ha laughter boggart explode burst thousand tiny wisp smoke go excellent cry professor lupin class break applause excellent neville
2,I idea harry give glass quick he hand team watch amazement hermione tap wand say impervius there say hand back harry they repel water
2,he look back map the tiny speech bubble appear next figure the word inside say dissendium dissendium harry whisper tap stone witch at statue hump open wide enough admit fairly thin person
2,the tiny speech bubble appear next figure the word inside say dissendium dissendium harry whisper tap stone witch at statue hump open wide enough admit fairly thin person harry glance quickly corridor tuck map away hoisted hole headfirst push forwards
2,he stand look around it pitch dark he hold wand mutter lumos see narrow low earthy passageway he raise map tap tip wand mutter mischief manage the map go blank he fold carefully tuck inside robe heart beat fast excited apprehensive set
2,in instant ron hermione place hand top harry head force stool table drip butterbeer crouch sight harry clutch empty tankard watch teacher fudge foot move towards bar pause turn walk right towards somewhere hermione whisper mobiliarbus the christmas tree beside table rise inch ground drift sideways land soft thump right front table hiding view stare dense low branch harry see four set chair leg move back table right beside hear grunt sigh teacher minister sit
2,finally settle moment first ridden broomstick right say try recall exactly possible wonderful soar sensation stomach the incantation lupin clear throat expecto patronum expecto patronum harry repeat breath expecto patronum concentrate hard happy memory
2,right say try recall exactly possible wonderful soar sensation stomach the incantation lupin clear throat expecto patronum expecto patronum harry repeat breath expecto patronum concentrate hard happy memory oh yeah say harry quickly force thought back first broomride
2,concentrate hard happy memory oh yeah say harry quickly force thought back first broomride expecto patrono patronum sorry expecto patronum expecto patronum something whoosh suddenly end wand look like wisp silvery gas do see say harry excitedly
2,the dementor step box start sweep silently towards harry draw deep rattle breath a wave pierce cold break expecto patronum harry yelled expecto patronum expecto
2,a wave pierce cold break expecto patronum harry yelled expecto patronum expecto but classroom dementor dissolve harry fall thick white fog mother voice louder ever echo inside head not harry
2,expecto patronum harry yelled expecto patronum expecto but classroom dementor dissolve harry fall thick white fog mother voice louder ever echo inside head not harry not harry
2,the room go icily cold dark the dementor glide forward draw rattly breath one rot hand extend towards harry expecto patronum harry yelled expecto patronum expecto pat
2,the dementor glide forward draw rattly breath one rot hand extend towards harry expecto patronum harry yelled expecto patronum expecto pat white fog obscure sense big blurred shape move around come new voice man voice shout panic
2,expecto patronum harry yelled expecto patronum expecto pat white fog obscure sense big blurred shape move around come new voice man voice shout panic lily take harry go
2,all right go he pull lid case third time dementor rise room fall cold dark expecto patronum harry bellow expecto patronum expecto patronum
2,he pull lid case third time dementor rise room fall cold dark expecto patronum harry bellow expecto patronum expecto patronum the screaming inside harry head start except time sound though come badly tune radio
2,expecto patronum harry bellow expecto patronum expecto patronum the screaming inside harry head start except time sound though come badly tune radio soft louder soft could still see dementor halt huge silver shadow came burst end harry wand hover dementor though harry leg feel like water still feet though much long sure
2,the screaming inside harry head start except time sound though come badly tune radio soft louder soft could still see dementor halt huge silver shadow came burst end harry wand hover dementor though harry leg feel like water still feet though much long sure riddikulus roar lupin spring forwards there loud crack harry cloudy patronus vanish along dementor sank chair feel exhaust run mile leg shake out corner eye see professor lupin force boggart back packing case wand turn silvery orb
2,what matter say ron harry pointed ron pulled wand mutter lumos a beam light fall across grass hit bottom tree illuminate branch crouch amongst bud leave crookshank get ron roar stooped seize stone lie grass could anything else crookshank vanish one swish long ginger tail
2,three dementor three tall black hooded dementor look he stop think plunge hand neck robe whip wand roar expecto patronum something silver white something enormous erupted end wand he know shoot directly dementor pause watch mind still miraculously clear look ahead nearly
2,harry squint the minuscule writing next read neville longbottom harry quickly pull wand mutter dissendium shove bag statue could climb neville come around corner harry I forget go hogsmeade either
2,that true say hermione get foot if see open witch hump you tap say dissendium say harry but hermione wait rest sentence strode across room push fat lady portrait open vanish sight
2,he hear hermione shriek pain fall harry grope wand blink blood eye lumo whisper the wandlight show trunk thick tree chase scabber shadow whomp willow branch creak though high wind whip backwards forward stop go near and base trunk dog drag ron backwards large gap root ron fight furiously head torso slip sight
2,everything cover thick layer dust except floor wide shiny stripe make something drag upstairs they reach dark landing nox whisper together light end wand go only one door open as creep towards hear movement behind low moan deep loud purr
2,harry trap what he dog animagus ron stare harry shoulder harry wheel around
2,his yellow tooth bare grin it sirius black expelliarmus croak point ron wand harry hermione wand shoot hand high air black catch then take step close
2,the door room burst open shower red spark harry wheel around professor lupin came hurtle room face bloodless wand raise ready his eye flicker ron lie floor hermione cower next door harry standing wand cover black black crumple bleed harry foot expelliarmus lupin shout harry wand fly hand two hermione hold lupin catch deftly move room stare black still crookshank lie protectively across chest
2,no say lupin quietly he wizard an animagus say black name peter pettigrew harry potter and the prisoner azkaban chapter eighteen
2,but professor lupin scabber pettigrew true know why true lupin say calmly though class hermione simply spot problem experiment grindylow because people would know peter pettigrew animagus we animagi class professor mcgonagall and I look I homework ministry keep tabs witch wizard become animal register show animal become marking thing I go look professor mcgonagall register seven animagi century pettigrew name list
2,yes indeed say lupin it take good part three year work your father sirius clever student school lucky animagus transformation go horribly wrong one reason ministry keep close watch attempt peter need help could get james sirius finally fifth year manage
2,and I change lupin face harden selfdigust voice all year I battle wonder whether I tell dumbledore sirius animagus but I why
2,it would meant admit I betray trust I school admit I lead other along dumbledore trust mean everything he let hogwart boy give job I shun adult life unable find pay work I and I convince sirius get school use dark art learn voldemort animagus nothing way snape right along snape say black harshly take eye scabber first time minute look lupin what snape get
2,harry make mind split second before snape could take even one step towards raise wand expelliarmus yell except voice shout there blast make door rattle hinge snape lift foot slam wall slide floor trickle blood ooze hair he knock
2,right say lupin suddenly businesslike ron I mend bone nearly well madam pomfrey I think good strap leg get hospital wing he hurry ron bent tap ron leg wand mutter ferula bandage spin ron leg strap tightly splint lupin help foot ron put weight gingerly leg wince that well say
2,er perhaps good revive safely back castle we take like he mutter mobilicorpus as though invisible string tie snape wrist neck knee pull standing position head still loll unpleasantly like grotesque puppet he hang inch ground limp foot dangle lupin pick invisibility cloak tuck safely pocket
2,there bang burst light ron lie motionless grind another bang crookshank fly air back earth heap expelliarmus harry yelled point wand pettigrew lupin wand fly high air sight stay harry shout run forwards too late
2,I go live godfather I leave dursley he force think sirius sirius begin chant expecto patronum expecto patronum black give shudder roll lie motionless ground pale death
2,I leave dursley he force think sirius sirius begin chant expecto patronum expecto patronum black give shudder roll lie motionless ground pale death he right
2,he right I going go live expecto patronum hermione help expecto patronum
2,expecto patronum hermione help expecto patronum expecto hermione whisper expecto expecto but
2,hermione help expecto patronum expecto hermione whisper expecto expecto but the dementor close barely ten foot
2,the dementor close barely ten foot they form solid wall around harry hermione get close expecto patronum harry yelled try blot scream ear expecto patronum a thin wisp silver escape wand hover like mist
2,they form solid wall around harry hermione get close expecto patronum harry yelled try blot scream ear expecto patronum a thin wisp silver escape wand hover like mist at moment harry feel hermione collapse next
2,at moment harry feel hermione collapse next he alone completely alone expecto expecto patronum harry feel knee hit cold grass fog cloud eye
2,fog cloud eye with huge effort fight remember sirius innocent innocent ok I go live expecto patronum gasp by feeble light formless patronus saw dementor halt close it walk cloud silver mist harry conjure
2,it make gesture though sweep patronus aside no harry gasp he innocent expecto expecto patronum he could feel watching hear rattle breath like evil wind around the near dementor seem consider
2,his patronus flickered die white fog blinding he fight expecto patronum see distance hear familiar scream expecto patronum grope mist sirius find arm go take but pair strong clammy hand suddenly wrap around harry neck they force face upwards could feel breath going get rid first could feel putrid breath mother scream ear go last thing ever hear
2,minister listen please hermione say hurried harry side gaze imploringly fudge face I see it ron rat animagus pettigrew I mean you see minister say snape confunde black do good job
2,he see father see harry flung behind bush pull wand expecto patronum yell and end wand burst shapeless cloud mist blind dazzle silver animal he screw eye trying see
2,he leapt chair hurried window try open locked stand back hermione call take wand still grip back harry robe leave hand alohomora the window spring open how say black weakly stare hippogriff
3,nevertheless sirius help harry even it due sirius harry school thing bedroom the dursley never allow general wish keep harry miserable possible coupled fear power lead lock school trunk cupboard stair every summer prior but attitude change since find harry dangerous murderer godfather harry conveniently forget tell sirius innocent harry receive two letter sirius since back privet drive
3,he push sleeve robe take wand harry see dursley draw back wall one incendio say mr weasley point wand hole wall behind flame rise fireplace crackling merrily though burn hour mr weasley take small drawstre bag pocket untie take pinch powder inside throw onto flame turn emerald green roar higher ever
3,nothing don lie mrs weasley point wand george pocket say accio several small brightly colored object zoom george pocket make grab miss speed right mrs weasley outstretche hand we tell destroy say mrs weasley furiously hold unmistakably tontongue toffee
3,empty pocket go it unpleasant scene twin evidently try smuggle many toffee house possible use summon charm mrs weasley manage find accio accio accio shout toffee zoom sort unlikely place include line george jacket turnup fre jean
3,it unpleasant scene twin evidently try smuggle many toffee house possible use summon charm mrs weasley manage find accio accio accio shout toffee zoom sort unlikely place include line george jacket turnup fre jean we spend six month develop fred shout mother throw toffee away
3,accio accio accio shout toffee zoom sort unlikely place include line george jacket turnup fre jean we spend six month develop fred shout mother throw toffee away oh fine way spend six month shriek
3,like big party at moment wizard plusfour appear thin air next mr roberts front door obliviate say sharply point wand mr roberts instantly mr roberts eye slide focus brow unknitted look dreamy unconcern fall face harry recognize symptom one memory modify
3,minister ready go ready ludo say fudge comfortably ludo whip wand direct throat say sonorus speak roar sound fill pack stadium voice echo boom every corner stand lady gentleman welcome welcome final four hundred twentysecond quidditch world cup
3,but grin happily troy quigley lift cup air crowd thunder approval harry hands numb clapping at last irish team leave box perform another lap honor broom aidan lynch back connolly clutch hard around waist still grin bemused sort way bagman point wand throat mutter quietus they talk one year say hoarsely really unexpected twist shame last long
3,what happen say hermione anxiously stop abruptly harry walk ron oh stupid lumo she illuminate wand direct narrow beam across path ron lie sprawl ground
3,who say and without warn silence rent voice unlike hear wood utter panicked shout sound like spell morsmordre and something vast green glittering erupt patch darkness harry eye struggle penetrate flew treetops sky what gasp ron sprang foot stare thing appear
3,without pause think yelled duck he seize two pull onto ground stupefy roar twenty voice blind series flash harry feel hair head ripple though powerful wind sweep clearing raise head fraction inch see jet fiery red light fly wizard wand cross one another bounce tree trunk rebound darkness stop yelled voice recognize
3,if right mr crouch I think hear get say crouch give sign hear mr diggory mr diggory seem take silence assent he raise wand point winky say rennervate winky stir feebly her great brown eye open blink several time bemuse sort way
3,there simple way discover last spell wand perform elf know winky tremble shake head frantically ear flap mr diggory raise wand place tip tip harry prior incantato roar mr diggory harry hear hermione gasp horrify gigantic serpenttongue skull erupt point two wand meet mere shadow green skull high look though make thick gray smoke ghost spell deletrius mr diggory shout smoky skull vanish wisp smoke
3,prior incantato roar mr diggory harry hear hermione gasp horrify gigantic serpenttongue skull erupt point two wand meet mere shadow green skull high look though make thick gray smoke ghost spell deletrius mr diggory shout smoky skull vanish wisp smoke so say mr diggory kind savage triumph look upon winky still shake convulsively I squeal eye roll terror
3,laugh malfoy beckon crabbe goyle three disappear ron get foot slam slide compartment door hard behind glass shatter ron say hermione reproachfully pull wand mutter reparo glass shard fly back single pane back door well make look like know everything ron snarl
3,harry feel ron recoil slightly next ron hate spider moody reach jar catch one spider hold palm hand could see he point wand mutter imperio the spider leapt moody hand fine thread silk begin swe backward forward though trapeze it stretch leg rigidly back flip break thread landing desk begin cartwheel circle
3,the cruciatus curse say moody need bit big get idea say point wand spider engorgio the spider swell it large tarantula
3,it large tarantula abandon pretense ron push chair backward far away moody desk possible moody raise wand point spider mutter crucio at spider leg bend upon body roll begin twitch horribly rock side side no sound come harry sure could give voice would scream
3,moody raise wand the spider leg relax continued twitch reducio moody mutter spider shrink back proper size he put back jar pain say moody softly
3,hermione hand shake slightly third time raise air yes say moody look avada kedavra hermione whisper several people look uneasily around include ron ah say moody another slight smile twist lopsided mouth
3,ah say moody another slight smile twist lopsided mouth yes last bad avada kedavra kill curse he put hand glass jar almost though know come third spider scuttle frantically around bottom jar try evade moody finger trap place upon desktop it start scuttle frantically across wooden surface
3,it start scuttle frantically across wooden surface moody raise wand harry feel sudden thrill foreboding avada kedavra moody roar there flash blind green light rush sound though vast invisible something soar air instantaneously spider roll onto back unmarked unmistakably dead several student stifle cry ron throw backward almost topple seat spider skid toward
3,moody speak great distance seem harry with massive effort pull back present listen moody say avada kedavra curse need powerful bit magic behind could get wand point say word I doubt I get much nosebleed but matter I teach
3,you want find situation face constant vigilance roar whole class jump now three curse avada kedavra imperius cruciatus know unforgivable curse the use one fellow human enough earn life sentence azkaban that
3,fred george right he really know stuff moody when avada kedavra way spider die snuff right but ron fall suddenly silent look harry face speak reach great hall said suppose well make start professor trelawney prediction tonight since would take hour hermione join harry ron conversation dinner eat furiously fast left library
3,potter moody growl next harry move forward middle classroom space moody clear desk moody raise wand point harry say imperio it wonderful feeling harry feel float sensation every think worry head wipe gently away leave nothing vague untraceable happiness
3,moody look get gut for split second look eye exactly time act furnunculus harry yelled densaugeo scream malfoy jet light shoot wand hit midair ricochet angle harry hit goyle face malfoy hit hermione
3,for split second look eye exactly time act furnunculus harry yelled densaugeo scream malfoy jet light shoot wand hit midair ricochet angle harry hit goyle face malfoy hit hermione goyle bellow put hand nose great ugly boil spring hermione whimpering panic clutch mouth
3,yes say mr ollivander yes I never use veela hair course I find make rather temperamental wand however suit mr ollivander run finger along wand apparently check scratch bump mutter orchideous bunch flower burst wand tip very well well fine working order say mr ollivander scoop flower hand fleur wand mr
3,he lift wand examine minutely turn eye yes hornbeam dragon heartstre shot krum nod rather thick one usually see quite rigid ten quarter inch avi the hornbeam wand let blast like gun number small twittering bird fly end open window watery sunlight good say mr ollivander handing krum back wand
3,stunning spell count three harry saw dragon keeper pull wand stupefy shout unison stunning spell shoot darkness like fiery rocket burst shower star dragons scaly hide harry watch dragon near teeter dangerously back leg jaw stretch wide silent howl nostril suddenly devoid flame though still smoke slowly fall several ton sinewy scalyblack dragon hit ground thud harry could swear make tree behind quake
3,this give harry idea pausing distance pull wand take careful aim diffindo cedric bag split parchment quill book spill onto floor
3,well know next time I manage spell harry say throw rune dictionary back hermione could try threaten dragon right he raise wand accio dictionary the heavy book soar hermione hand fly across room harry catch harry I really think get say hermione delightedly
3,he raise wand accio firebolt shout harry wait every fiber hope pray if work come he seem look everything around sort shimmer transparent barrier like heat haze make enclosure hundred face around swim strangely
3,mine snape reach horrible expression dawn comprehension face accio parchment the map fly air slip snape outstretche finger soar stairs moody hand my mistake moody say calmly
3,she seem take library lack useful information subject personal insult never fail I know I done say harry rest facedown saucy trick tricky sort I learn animagus like sirius an animagus wizard could transform animal yeah could turn goldfish time want say ron
3,I know I done say harry rest facedown saucy trick tricky sort I learn animagus like sirius an animagus wizard could transform animal yeah could turn goldfish time want say ron or frog yawned harry
3,or frog yawned harry he exhaust it take year become animagus register everything say hermione vaguely squint index weird wizarde dilemma their solution professor mcgonagall tell we remember get register improper use magic office animal become marking abuse
3,he would grab invisibility cloak go back library stay night lumos harry whisper fifteen minute later open library door wand tip alight creep along bookshelf pull book book hex charm book merpeople water monster book famous witch wizard magical invention anything might include one pass reference underwater survival he carry table set work search narrow beam wand occasionally check watch
3,know go yeah harry pant massaging rib bagman give harry shoulder quick squeeze return judge table point wand throat do world cup say sonorus voice boom across dark water toward stand well champion ready second task start whistle they precisely hour recover take
3,harry twisted body around see grindylow small horn water demon poking weed long finger clutch tightly around harry leg point fang bare harry stuck web hand quickly inside robe fumble wand by time grasp two grindylow risen weed seize handfuls harry robe attempt drag relashio harry shout except sound come a large bubble issue mouth wand instead send spark grindylow pelt seemed jet boiling water strike angry red patch appear green skin harry pull ankle grindylow grip swam fast could occasionally send jet hot water shoulder random every feel one grindylow snatch foot kick hard finally feel foot connect horn skull look back see daze grindylow float away crosseye fellow shake fist harry sink back weed
3,for nearly half hour climb steep wind stony path follow sirius wag tail sweat sun shoulder straps harry bag cutting shoulder then last sirius slip sight reach place vanish see narrow fissure rock they squeeze find cool dimly light cave tethered end one end rope around large rock buckbeak hippogriff half gray horse half giant eagle buckbeak fierce orange eye flash sight
3,his black hair long appear fire untidy mat he look thin chicken say hoarsely remove old daily prophet mouth throw onto cave floor harry pull open bag hand bundle chicken leg bread thank say sirius opening grab drumstick sit cave floor tear large chunk tooth
3,chicken say hoarsely remove old daily prophet mouth throw onto cave floor harry pull open bag hand bundle chicken leg bread thank say sirius opening grab drumstick sit cave floor tear large chunk tooth I live rat mostly can steal much food hogsmeade I draw attention
3,your last letter well let say thing get fishier I steal paper every time someone throw one look thing I one getting worried he nod yellow daily prophet cave floor ron pick unfold harry however continue stare sirius what catch
3,what catch what see you three dumbledore one around know I animagus say sirius shrug continue devour chicken leg ron nudge harry pass daily prophet there two the first bore headline mystery illness bartemius crouch second ministry witch still miss minister magic now personally involve
3,crouch sack houseelf yeah quidditch world cup say harry launch story dark mark appearance winky find harry wand clutched hand mr crouch fury when harry finish sirius foot start pace cave let get straight say brandish fresh chicken leg you first see elf top box
3,no say harry I think say busy sirius pace around cave silence then say harry check pocket wand leave top box erm harry think hard
3,load people say harry some bulgarian minister cornelius fudge malfoy the malfoy say ron suddenly loudly voice echo around cave buckbeak toss head nervously I bet lucius malfoy anyone else say sirius
3,a grin flash across sirius thin face all right I try he walk cave back say imagine voldemort powerful you know supporter know work know control people terrible thing without able stop you scare family friend
3,he run finger distractedly filthy hair shrug well I idea karkaroff genuinely worry go snape answer sirius stare cave wall make grimace frustration there still fact dumbledore trust snape I know dumbledore trust lot people I see let snape teach hogwart ever work voldemort why moody crouch keen get snape office say ron stubbornly
3,what world cup important turn top box what judge tournament sirius lapse silence still stare cave wall buckbeak ferreting around rocky floor look bone might overlook finally sirius look ron
3,he hand harry empty napkin flask go pat buckbeak goodbye I walk edge village say sirius see I scrounge another paper he transform great black dog leave cave walk back mountainside across boulderstrewn ground back stile here allow pat head turn setting run around outskirt village harry ron hermione make way back hogsmeade toward hogwart
3,hermione however ask harry ron help pursue vengeance rita skeeter grateful workload mount ever high day easter holiday harry frankly marvel fact hermione could research magical method eavesdrop well everything else he work flatout get homework though make point send regular food package cave mountain sirius last summer harry forget feel like continually hungry he enclose note sirius tell nothing ordinary happen still wait answer percy hedwig return end easter holiday
3,they definitely somewhere around lumos dumbledore say lighting wand hold its narrow beam travel black trunk black trunk illuminate ground and fall upon pair foot
3,he raise wand air point direction hagrid cabin harry see something silvery dart streak away tree like ghostly bird then dumbledore bent krum pointed wand mutter rennervate krum open eye he looked daze
3,the tip wand emerge around back chair it point wormtail crucio say cold voice wormtail scream scream though every nerve body fire scream fill harry ears scar forehead sear pain yell voldemort would hear would know
3,you sirius correspondent say dumbledore I also contact ever since leave hogwart last year it I suggest mountainside cave safe place stay dumbledore get begin walk behind desk every place wand tip temple remove another shine silver think add pensieve
3,off go say bagman brightly four patroller good luck harry hagrid whisper four walk away different direction station around maze bagman point wand throat mutter sonorus magically magnify voice echo stand lady gentleman third final task triwizard tournament begin let remind point currently stand
3,the tower hedge cast black shadow across path whether tall thick enchanted sound surround crowd silence moment enter maze harry feel almost though underwater he pull wand mutter lumos hear cedric behind after fifty yard reach fork they look
3,harry could hear rattle breath feel clammy coldness stealing know he summon happy thought could concentrated might think get maze celebrate ron hermione raise wand cry expecto patronum a silver stag erupt end harry wand gallop toward dementor fall back trip hem robe harry never see dementor stumble
3,hang shout advance wake silver patronus you boggart riddikulus there loud crack shapeshifter explode wisp smoke the silver stag fade sight
3,this look like kind enchantment he wonder whether might able blast way reducto say the spell shoot straight mist leave intact he suppose know well reductor curse solid object
3,its long sting curl back its thick armor glint light harry wand point stupefy the spell hit skrewt armor rebound harry ducked time could smell burn hair singe top head the skrewt issue blast fire end fly forward toward
3,the spell hit skrewt armor rebound harry ducked time could smell burn hair singe top head the skrewt issue blast fire end fly forward toward impedimenta harry yell the spell hit skrewt armor ricochet harry stagger back pace fall impedimenta
3,impedimenta harry yell the spell hit skrewt armor ricochet harry stagger back pace fall impedimenta the skrewt inch freeze manage hit fleshy shellless underside pant harry push away run hard opposite direction impediment curse permanent skrewt would regain use leg moment
3,what hell think and harry hear krum voice crucio the air suddenly full cedric yell horrify harry begin sprint path try find way cedric
3,harry pull pointed wand krum krum look krum turn begin run stupefy harry yell the spell hit krum back stop dead track fall forward lie motionless facedown grass harry dash cedric stop twitch lie pant hand face
3,cedric look around time hurl past thing avoid collide haste trip harry see cedric wand fly hand gigantic spider step path begin bear upon cedric stupefy harry yelled spell hit spider gigantic hairy black body good might well throw stone spider jerk scuttle around run harry instead stupefy impedimenta
3,harry see cedric wand fly hand gigantic spider step path begin bear upon cedric stupefy harry yelled spell hit spider gigantic hairy black body good might well throw stone spider jerk scuttle around run harry instead stupefy impedimenta stupefy
3,stupefy harry yelled spell hit spider gigantic hairy black body good might well throw stone spider jerk scuttle around run harry instead stupefy impedimenta stupefy but use spider either large magical spell aggravate
3,stupefy impedimenta stupefy but use spider either large magical spell aggravate harry one horrify glimpse eight shine black eye razorsharp pincer upon
3,harry one horrify glimpse eight shine black eye razorsharp pincer upon he lift air front leg struggle madly try kick leg connect pincer next moment excruciating pain he could hear cedric yell stupefy spell effect harry harry raised wand spider open pincer shout expelliarmus it work disarm spell make spider drop mean harry fall twelve foot onto already injure leg crumple beneath without pause think aim high spider underbelly do skrewt shout stupefy cedric yelled thing
3,he could hear cedric yell stupefy spell effect harry harry raised wand spider open pincer shout expelliarmus it work disarm spell make spider drop mean harry fall twelve foot onto already injure leg crumple beneath without pause think aim high spider underbelly do skrewt shout stupefy cedric yelled thing the two spell combine one alone the spider keel sideways flatten nearby hedge strew path tangle hairy leg harry hear cedric shouting
3,it agony never feel life wand slip finger put hand face knee buckled ground could see nothing head split open from far away head hear high cold voice say kill spare a swishing noise second voice screech word night avada kedavra a blast green light blaze harry eyelid hear something heavy fall ground beside pain scar reach pitch retch diminish terrified see open sting eye cedric lie spreadeagle ground beside
3,voldemort begin laugh he raise wand crucio the death eater ground writhe shriek harry sure sound must carry house around let police come think desperately anyone anything
