book_num,paragraph,rob_sentiment,rob_score,rob_all_scores
1,stop stop scream lockhart snape take charge finite incantatem shout harry foot stop dance malfoy stop laugh able look a haze greenish smoke hover scene both neville justin lie floor pant ron hold ashenface seamus apologize whatever broken wand do hermione millicent bulstrode still move millicent hermione headlock hermione whimpering pain wand lie forget floor,neutral,0.5233606,"{'neutral': 0.5233606, 'negative': 0.43645984, 'positive': 0.04017951}"
1,but lockhart listen three two one go shout malfoy raise wand quickly bellow serpensortia the end wand explode harry watch aghast long black snake shot fall heavily onto floor raise ready strike,neutral,0.8398652,"{'neutral': 0.8398652, 'negative': 0.08158768, 'positive': 0.07854716}"
1,but hermione pull wand bag it might invisible ink whisper she tap diary three time say aparecium nothing happen undaunted hermione shove hand back bag pull appear bright red eraser,neutral,0.7808829,"{'neutral': 0.7808829, 'negative': 0.17684478, 'positive': 0.042272333}"
1,when I look say malfoy wave diary tauntingly harry percy say as school prefect harry lost temper he pull wand shout expelliarmus snape disarm lockhart malfoy find diary shoot hand air ron grinning broadly catch harry say percy loudly,neutral,0.79913867,"{'neutral': 0.79913867, 'positive': 0.10630122, 'negative': 0.094560176}"
1,there would need pitchdark forest c mon fang go walk say harry pat leg fang bound happily house behind dash edge forest lift leg large sycamore tree harry take wand murmur lumos tiny light appear end enough let watch path sign spider good thinking say ron I light mine know probably blow something,neutral,0.8358276,"{'neutral': 0.8358276, 'positive': 0.14312097, 'negative': 0.021051425}"
1,I never sell another book harry reach wand time lockhart barely raise harry bellow expelliarmus lockhart blast backward fall trunk wand fly high air ron catch fling open window shouldn let professor snape teach we one say harry furiously kick lockhart trunk aside,neutral,0.4967218,"{'neutral': 0.4967218, 'negative': 0.41811046, 'positive': 0.08516777}"
1,under lake probably say ron squint around dark slimy wall all three turn stare darkness ahead lumos harry muttered wand lit c mon say ron lockhart go footstep slap loudly wet floor the tunnel dark could see little distance ahead,neutral,0.8659765,"{'neutral': 0.8659765, 'negative': 0.09929492, 'positive': 0.034728568}"
1,the adventure end boy say I shall take bit skin back school tell I late save girl two tragically lose mind sight mangle body say goodbye memory he raise ron spellotape wand high head yell obliviate the wand explode force small bomb harry flung arms head run slip coil snake skin way great chunk tunnel ceiling thunder floor,neutral,0.5405919,"{'neutral': 0.5405919, 'negative': 0.39624736, 'positive': 0.063160785}"
2,harry squint black alleyway if would move know whether stray cat something else lumos harry muttered light appear end wand almost dazzle he hold high head pebbledashe wall number two suddenly sparkle garage door gleam harry saw quite distinctly hulk outline something big wide gleam eye harry step backwards,neutral,0.8759232,"{'neutral': 0.8759232, 'positive': 0.10818297, 'negative': 0.0158938}"
2,most em know wiv youknow oo go come quiet but sirius black I eard think e secondincommand youknow oo ad take anyway cornered black middle street full muggle black take wand e blast alf street apart wizard get dozen muggle get way orrible eh,neutral,0.83050627,"{'neutral': 0.83050627, 'negative': 0.102600805, 'positive': 0.06689301}"
2,I blow meself I set foot place serve right mind they ad job coverin din ern stan say ole street blow muggle dead what say ad appene ern,neutral,0.5008178,"{'neutral': 0.5008178, 'negative': 0.40893513, 'positive': 0.09024705}"
2,they ad job coverin din ern stan say ole street blow muggle dead what say ad appene ern gas explosion grunt ernie an e say stan examine newspaper picture black gaunt face,neutral,0.52176845,"{'neutral': 0.52176845, 'negative': 0.46080062, 'positive': 0.017430896}"
2,ear arry potter blow aunt we ad I m ere knight bus di n ern e tryin run he harry broken wizard law like sirius black,neutral,0.7055569,"{'neutral': 0.7055569, 'negative': 0.23100974, 'positive': 0.06343336}"
2,this useful little spell tell class shoulder please watch closely he raise wand shoulder height say waddiwasi point peeve with force bullet wad chew gum shoot keyhole straight peeve leave nostril whirl right way zoom away curse cool sir say dean thomas amazement,positive,0.5233086,"{'positive': 0.5233086, 'neutral': 0.45918038, 'negative': 0.017511021}"
2,what need force assume shape find amusing we practise charm without wand first after please riddikulus riddikulus say class together good say professor lupin,neutral,0.52038664,"{'neutral': 0.52038664, 'positive': 0.4316222, 'negative': 0.04799106}"
2,we practise charm without wand first after please riddikulus riddikulus say class together good say professor lupin very good,positive,0.8960448,"{'positive': 0.8960448, 'neutral': 0.097966805, 'negative': 0.005988416}"
2,yes say neville uncertainly plainly wonder come next when boggart burst wardrobe neville see assume form professor snape say lupin and raise wand thus cry riddikulus concentrate hard grandmother clothe if go well professor boggart snape force vulturetoppe hat green dress big red handbag there great shout laughter,neutral,0.517296,"{'neutral': 0.517296, 'positive': 0.46667147, 'negative': 0.016032489}"
2,snape round there another crack stand bloodstaine bandage mummy sightless face turn parvati begin walk towards slowly drag foot stiff arm rise riddikulus cry parvati a bandage unravel mummy foot become entangle fall face forwards head roll seamus roar professor lupin,neutral,0.8485359,"{'neutral': 0.8485359, 'negative': 0.10266501, 'positive': 0.04879912}"
2,where mummy woman floorlength black hair skeletal greentinged face banshee she open mouth wide unearthly sound fill room long wail shriek make hair harry head stand end riddikulus shout seamus the banshee make rasp noise clutch throat voice go crack,neutral,0.59785515,"{'neutral': 0.59785515, 'negative': 0.3486904, 'positive': 0.053454462}"
2,crack the eyeball become sever hand flipped begin creep along floor like crab riddikulu yelled dean there snap hand trap mousetrap excellent,neutral,0.6226392,"{'neutral': 0.6226392, 'negative': 0.27060613, 'positive': 0.10675468}"
2,for moment harry think ron frozen then riddikulus bellow ron spider leg vanish it roll lavender brown squealed run way come halt harry foot he raise wand ready,neutral,0.8761652,"{'neutral': 0.8761652, 'positive': 0.10042534, 'negative': 0.023409534}"
2,the legless spider vanish for second everyone look wildly around see then see silverywhite orb hang air front lupin say riddikulus almost lazily crack forward neville finish say lupin boggart land floor cockroach,neutral,0.7354034,"{'neutral': 0.7354034, 'negative': 0.19574283, 'positive': 0.068853706}"
2,snape back this time neville charge forward look determined riddikulus shout split second view snape lacy dress neville let great ha laughter boggart explode burst thousand tiny wisp smoke go excellent cry professor lupin class break applause excellent neville,positive,0.91708726,"{'positive': 0.91708726, 'neutral': 0.07930351, 'negative': 0.0036091986}"
2,I idea harry give glass quick he hand team watch amazement hermione tap wand say impervius there say hand back harry they repel water,neutral,0.5882966,"{'neutral': 0.5882966, 'positive': 0.39748734, 'negative': 0.014216033}"
2,he look back map the tiny speech bubble appear next figure the word inside say dissendium dissendium harry whisper tap stone witch at statue hump open wide enough admit fairly thin person,neutral,0.90685916,"{'neutral': 0.90685916, 'positive': 0.076621436, 'negative': 0.016519329}"
2,the tiny speech bubble appear next figure the word inside say dissendium dissendium harry whisper tap stone witch at statue hump open wide enough admit fairly thin person harry glance quickly corridor tuck map away hoisted hole headfirst push forwards,neutral,0.9295805,"{'neutral': 0.9295805, 'positive': 0.04620083, 'negative': 0.024218665}"
2,he stand look around it pitch dark he hold wand mutter lumos see narrow low earthy passageway he raise map tap tip wand mutter mischief manage the map go blank he fold carefully tuck inside robe heart beat fast excited apprehensive set,neutral,0.87403065,"{'neutral': 0.87403065, 'negative': 0.08455628, 'positive': 0.04141306}"
2,in instant ron hermione place hand top harry head force stool table drip butterbeer crouch sight harry clutch empty tankard watch teacher fudge foot move towards bar pause turn walk right towards somewhere hermione whisper mobiliarbus the christmas tree beside table rise inch ground drift sideways land soft thump right front table hiding view stare dense low branch harry see four set chair leg move back table right beside hear grunt sigh teacher minister sit,neutral,0.90721804,"{'neutral': 0.90721804, 'positive': 0.061721463, 'negative': 0.031060493}"
2,finally settle moment first ridden broomstick right say try recall exactly possible wonderful soar sensation stomach the incantation lupin clear throat expecto patronum expecto patronum harry repeat breath expecto patronum concentrate hard happy memory,positive,0.8874695,"{'positive': 0.8874695, 'neutral': 0.10744929, 'negative': 0.0050813025}"
2,right say try recall exactly possible wonderful soar sensation stomach the incantation lupin clear throat expecto patronum expecto patronum harry repeat breath expecto patronum concentrate hard happy memory oh yeah say harry quickly force thought back first broomride,positive,0.83736813,"{'positive': 0.83736813, 'neutral': 0.15636197, 'negative': 0.00626997}"
2,concentrate hard happy memory oh yeah say harry quickly force thought back first broomride expecto patrono patronum sorry expecto patronum expecto patronum something whoosh suddenly end wand look like wisp silvery gas do see say harry excitedly,positive,0.7241772,"{'positive': 0.7241772, 'neutral': 0.26051542, 'negative': 0.01530732}"
2,the dementor step box start sweep silently towards harry draw deep rattle breath a wave pierce cold break expecto patronum harry yelled expecto patronum expecto,neutral,0.8564445,"{'neutral': 0.8564445, 'positive': 0.1059217, 'negative': 0.03763387}"
2,a wave pierce cold break expecto patronum harry yelled expecto patronum expecto but classroom dementor dissolve harry fall thick white fog mother voice louder ever echo inside head not harry,neutral,0.5834178,"{'neutral': 0.5834178, 'negative': 0.3693966, 'positive': 0.047185708}"
2,expecto patronum harry yelled expecto patronum expecto but classroom dementor dissolve harry fall thick white fog mother voice louder ever echo inside head not harry not harry,negative,0.55040795,"{'negative': 0.55040795, 'neutral': 0.41329277, 'positive': 0.036299296}"
2,the room go icily cold dark the dementor glide forward draw rattly breath one rot hand extend towards harry expecto patronum harry yelled expecto patronum expecto pat,neutral,0.6625355,"{'neutral': 0.6625355, 'negative': 0.30050454, 'positive': 0.03695994}"
2,the dementor glide forward draw rattly breath one rot hand extend towards harry expecto patronum harry yelled expecto patronum expecto pat white fog obscure sense big blurred shape move around come new voice man voice shout panic,neutral,0.78024006,"{'neutral': 0.78024006, 'negative': 0.17565337, 'positive': 0.044106584}"
2,expecto patronum harry yelled expecto patronum expecto pat white fog obscure sense big blurred shape move around come new voice man voice shout panic lily take harry go,neutral,0.8145516,"{'neutral': 0.8145516, 'negative': 0.09527134, 'positive': 0.09017704}"
2,all right go he pull lid case third time dementor rise room fall cold dark expecto patronum harry bellow expecto patronum expecto patronum,neutral,0.8022793,"{'neutral': 0.8022793, 'positive': 0.10531945, 'negative': 0.0924013}"
2,he pull lid case third time dementor rise room fall cold dark expecto patronum harry bellow expecto patronum expecto patronum the screaming inside harry head start except time sound though come badly tune radio,negative,0.5884748,"{'negative': 0.5884748, 'neutral': 0.38365152, 'positive': 0.027873645}"
2,expecto patronum harry bellow expecto patronum expecto patronum the screaming inside harry head start except time sound though come badly tune radio soft louder soft could still see dementor halt huge silver shadow came burst end harry wand hover dementor though harry leg feel like water still feet though much long sure,neutral,0.5137856,"{'neutral': 0.5137856, 'negative': 0.4201077, 'positive': 0.06610671}"
2,the screaming inside harry head start except time sound though come badly tune radio soft louder soft could still see dementor halt huge silver shadow came burst end harry wand hover dementor though harry leg feel like water still feet though much long sure riddikulus roar lupin spring forwards there loud crack harry cloudy patronus vanish along dementor sank chair feel exhaust run mile leg shake out corner eye see professor lupin force boggart back packing case wand turn silvery orb,negative,0.57151335,"{'negative': 0.57151335, 'neutral': 0.39956555, 'positive': 0.02892109}"
2,what matter say ron harry pointed ron pulled wand mutter lumos a beam light fall across grass hit bottom tree illuminate branch crouch amongst bud leave crookshank get ron roar stooped seize stone lie grass could anything else crookshank vanish one swish long ginger tail,neutral,0.8709664,"{'neutral': 0.8709664, 'negative': 0.074028246, 'positive': 0.05500539}"
2,three dementor three tall black hooded dementor look he stop think plunge hand neck robe whip wand roar expecto patronum something silver white something enormous erupted end wand he know shoot directly dementor pause watch mind still miraculously clear look ahead nearly,neutral,0.73945767,"{'neutral': 0.73945767, 'positive': 0.2168715, 'negative': 0.043670896}"
2,harry squint the minuscule writing next read neville longbottom harry quickly pull wand mutter dissendium shove bag statue could climb neville come around corner harry I forget go hogsmeade either,neutral,0.841333,"{'neutral': 0.841333, 'positive': 0.10186771, 'negative': 0.05679932}"
2,that true say hermione get foot if see open witch hump you tap say dissendium say harry but hermione wait rest sentence strode across room push fat lady portrait open vanish sight,neutral,0.79671115,"{'neutral': 0.79671115, 'negative': 0.11249724, 'positive': 0.09079156}"
2,he hear hermione shriek pain fall harry grope wand blink blood eye lumo whisper the wandlight show trunk thick tree chase scabber shadow whomp willow branch creak though high wind whip backwards forward stop go near and base trunk dog drag ron backwards large gap root ron fight furiously head torso slip sight,neutral,0.7787094,"{'neutral': 0.7787094, 'negative': 0.18012778, 'positive': 0.04116276}"
2,everything cover thick layer dust except floor wide shiny stripe make something drag upstairs they reach dark landing nox whisper together light end wand go only one door open as creep towards hear movement behind low moan deep loud purr,neutral,0.7825984,"{'neutral': 0.7825984, 'negative': 0.1706842, 'positive': 0.046717394}"
2,harry trap what he dog animagus ron stare harry shoulder harry wheel around,neutral,0.9158188,"{'neutral': 0.9158188, 'positive': 0.042743865, 'negative': 0.041437346}"
2,his yellow tooth bare grin it sirius black expelliarmus croak point ron wand harry hermione wand shoot hand high air black catch then take step close,neutral,0.887453,"{'neutral': 0.887453, 'positive': 0.08875469, 'negative': 0.023792228}"
2,the door room burst open shower red spark harry wheel around professor lupin came hurtle room face bloodless wand raise ready his eye flicker ron lie floor hermione cower next door harry standing wand cover black black crumple bleed harry foot expelliarmus lupin shout harry wand fly hand two hermione hold lupin catch deftly move room stare black still crookshank lie protectively across chest,neutral,0.8558347,"{'neutral': 0.8558347, 'negative': 0.081130214, 'positive': 0.06303504}"
2,no say lupin quietly he wizard an animagus say black name peter pettigrew harry potter and the prisoner azkaban chapter eighteen,neutral,0.90747654,"{'neutral': 0.90747654, 'positive': 0.048746273, 'negative': 0.04377719}"
2,but professor lupin scabber pettigrew true know why true lupin say calmly though class hermione simply spot problem experiment grindylow because people would know peter pettigrew animagus we animagi class professor mcgonagall and I look I homework ministry keep tabs witch wizard become animal register show animal become marking thing I go look professor mcgonagall register seven animagi century pettigrew name list,neutral,0.8181415,"{'neutral': 0.8181415, 'positive': 0.15693808, 'negative': 0.024920415}"
2,yes indeed say lupin it take good part three year work your father sirius clever student school lucky animagus transformation go horribly wrong one reason ministry keep close watch attempt peter need help could get james sirius finally fifth year manage,positive,0.6676724,"{'positive': 0.6676724, 'neutral': 0.24849595, 'negative': 0.08383162}"
2,and I change lupin face harden selfdigust voice all year I battle wonder whether I tell dumbledore sirius animagus but I why,neutral,0.83661574,"{'neutral': 0.83661574, 'negative': 0.08996119, 'positive': 0.07342309}"
2,it would meant admit I betray trust I school admit I lead other along dumbledore trust mean everything he let hogwart boy give job I shun adult life unable find pay work I and I convince sirius get school use dark art learn voldemort animagus nothing way snape right along snape say black harshly take eye scabber first time minute look lupin what snape get,negative,0.71255445,"{'negative': 0.71255445, 'neutral': 0.2688475, 'positive': 0.018598063}"
2,harry make mind split second before snape could take even one step towards raise wand expelliarmus yell except voice shout there blast make door rattle hinge snape lift foot slam wall slide floor trickle blood ooze hair he knock,neutral,0.66594285,"{'neutral': 0.66594285, 'negative': 0.26923874, 'positive': 0.06481835}"
2,right say lupin suddenly businesslike ron I mend bone nearly well madam pomfrey I think good strap leg get hospital wing he hurry ron bent tap ron leg wand mutter ferula bandage spin ron leg strap tightly splint lupin help foot ron put weight gingerly leg wince that well say,neutral,0.5646233,"{'neutral': 0.5646233, 'positive': 0.40869486, 'negative': 0.026681803}"
2,er perhaps good revive safely back castle we take like he mutter mobilicorpus as though invisible string tie snape wrist neck knee pull standing position head still loll unpleasantly like grotesque puppet he hang inch ground limp foot dangle lupin pick invisibility cloak tuck safely pocket,neutral,0.7171952,"{'neutral': 0.7171952, 'positive': 0.16863768, 'negative': 0.11416708}"
2,there bang burst light ron lie motionless grind another bang crookshank fly air back earth heap expelliarmus harry yelled point wand pettigrew lupin wand fly high air sight stay harry shout run forwards too late,neutral,0.76988566,"{'neutral': 0.76988566, 'negative': 0.13395393, 'positive': 0.09616041}"
2,I go live godfather I leave dursley he force think sirius sirius begin chant expecto patronum expecto patronum black give shudder roll lie motionless ground pale death,neutral,0.7655414,"{'neutral': 0.7655414, 'negative': 0.16119567, 'positive': 0.073263004}"
2,I leave dursley he force think sirius sirius begin chant expecto patronum expecto patronum black give shudder roll lie motionless ground pale death he right,neutral,0.7353502,"{'neutral': 0.7353502, 'negative': 0.17257792, 'positive': 0.09207195}"
2,he right I going go live expecto patronum hermione help expecto patronum,positive,0.5056547,"{'positive': 0.5056547, 'neutral': 0.47534078, 'negative': 0.01900456}"
2,expecto patronum hermione help expecto patronum expecto hermione whisper expecto expecto but,neutral,0.7339514,"{'neutral': 0.7339514, 'negative': 0.1535321, 'positive': 0.1125165}"
2,hermione help expecto patronum expecto hermione whisper expecto expecto but the dementor close barely ten foot,neutral,0.728191,"{'neutral': 0.728191, 'positive': 0.13663088, 'negative': 0.1351781}"
2,the dementor close barely ten foot they form solid wall around harry hermione get close expecto patronum harry yelled try blot scream ear expecto patronum a thin wisp silver escape wand hover like mist,neutral,0.7644299,"{'neutral': 0.7644299, 'negative': 0.15861417, 'positive': 0.07695591}"
2,they form solid wall around harry hermione get close expecto patronum harry yelled try blot scream ear expecto patronum a thin wisp silver escape wand hover like mist at moment harry feel hermione collapse next,neutral,0.75594854,"{'neutral': 0.75594854, 'negative': 0.18949133, 'positive': 0.054560166}"
2,at moment harry feel hermione collapse next he alone completely alone expecto expecto patronum harry feel knee hit cold grass fog cloud eye,negative,0.56745094,"{'negative': 0.56745094, 'neutral': 0.41240937, 'positive': 0.02013967}"
2,fog cloud eye with huge effort fight remember sirius innocent innocent ok I go live expecto patronum gasp by feeble light formless patronus saw dementor halt close it walk cloud silver mist harry conjure,neutral,0.66106135,"{'neutral': 0.66106135, 'positive': 0.22790432, 'negative': 0.11103431}"
2,it make gesture though sweep patronus aside no harry gasp he innocent expecto expecto patronum he could feel watching hear rattle breath like evil wind around the near dementor seem consider,neutral,0.68957955,"{'neutral': 0.68957955, 'negative': 0.18978232, 'positive': 0.12063812}"
2,his patronus flickered die white fog blinding he fight expecto patronum see distance hear familiar scream expecto patronum grope mist sirius find arm go take but pair strong clammy hand suddenly wrap around harry neck they force face upwards could feel breath going get rid first could feel putrid breath mother scream ear go last thing ever hear,neutral,0.58910006,"{'neutral': 0.58910006, 'negative': 0.36249194, 'positive': 0.04840797}"
2,minister listen please hermione say hurried harry side gaze imploringly fudge face I see it ron rat animagus pettigrew I mean you see minister say snape confunde black do good job,neutral,0.6098205,"{'neutral': 0.6098205, 'positive': 0.34592095, 'negative': 0.044258557}"
2,he see father see harry flung behind bush pull wand expecto patronum yell and end wand burst shapeless cloud mist blind dazzle silver animal he screw eye trying see,neutral,0.7696367,"{'neutral': 0.7696367, 'negative': 0.17189714, 'positive': 0.058466207}"
2,he leapt chair hurried window try open locked stand back hermione call take wand still grip back harry robe leave hand alohomora the window spring open how say black weakly stare hippogriff,neutral,0.86969316,"{'neutral': 0.86969316, 'positive': 0.07240373, 'negative': 0.057903066}"
3,nevertheless sirius help harry even it due sirius harry school thing bedroom the dursley never allow general wish keep harry miserable possible coupled fear power lead lock school trunk cupboard stair every summer prior but attitude change since find harry dangerous murderer godfather harry conveniently forget tell sirius innocent harry receive two letter sirius since back privet drive,negative,0.8112157,"{'negative': 0.8112157, 'neutral': 0.17685401, 'positive': 0.011930239}"
3,he push sleeve robe take wand harry see dursley draw back wall one incendio say mr weasley point wand hole wall behind flame rise fireplace crackling merrily though burn hour mr weasley take small drawstre bag pocket untie take pinch powder inside throw onto flame turn emerald green roar higher ever,neutral,0.8428784,"{'neutral': 0.8428784, 'positive': 0.14492376, 'negative': 0.012197858}"
3,nothing don lie mrs weasley point wand george pocket say accio several small brightly colored object zoom george pocket make grab miss speed right mrs weasley outstretche hand we tell destroy say mrs weasley furiously hold unmistakably tontongue toffee,neutral,0.81379414,"{'neutral': 0.81379414, 'positive': 0.14320518, 'negative': 0.043000653}"
3,empty pocket go it unpleasant scene twin evidently try smuggle many toffee house possible use summon charm mrs weasley manage find accio accio accio shout toffee zoom sort unlikely place include line george jacket turnup fre jean,neutral,0.5763917,"{'neutral': 0.5763917, 'negative': 0.40214774, 'positive': 0.021460569}"
3,it unpleasant scene twin evidently try smuggle many toffee house possible use summon charm mrs weasley manage find accio accio accio shout toffee zoom sort unlikely place include line george jacket turnup fre jean we spend six month develop fred shout mother throw toffee away,neutral,0.5748183,"{'neutral': 0.5748183, 'negative': 0.4025257, 'positive': 0.022656003}"
3,accio accio accio shout toffee zoom sort unlikely place include line george jacket turnup fre jean we spend six month develop fred shout mother throw toffee away oh fine way spend six month shriek,neutral,0.847019,"{'neutral': 0.847019, 'positive': 0.083294176, 'negative': 0.06968681}"
3,like big party at moment wizard plusfour appear thin air next mr roberts front door obliviate say sharply point wand mr roberts instantly mr roberts eye slide focus brow unknitted look dreamy unconcern fall face harry recognize symptom one memory modify,neutral,0.86726975,"{'neutral': 0.86726975, 'positive': 0.10839908, 'negative': 0.024331134}"
3,minister ready go ready ludo say fudge comfortably ludo whip wand direct throat say sonorus speak roar sound fill pack stadium voice echo boom every corner stand lady gentleman welcome welcome final four hundred twentysecond quidditch world cup,positive,0.67126316,"{'positive': 0.67126316, 'neutral': 0.3241836, 'negative': 0.00455322}"
3,but grin happily troy quigley lift cup air crowd thunder approval harry hands numb clapping at last irish team leave box perform another lap honor broom aidan lynch back connolly clutch hard around waist still grin bemused sort way bagman point wand throat mutter quietus they talk one year say hoarsely really unexpected twist shame last long,positive,0.7168513,"{'positive': 0.7168513, 'neutral': 0.27193063, 'negative': 0.011218125}"
3,what happen say hermione anxiously stop abruptly harry walk ron oh stupid lumo she illuminate wand direct narrow beam across path ron lie sprawl ground,negative,0.61199623,"{'negative': 0.61199623, 'neutral': 0.3675637, 'positive': 0.020440048}"
3,who say and without warn silence rent voice unlike hear wood utter panicked shout sound like spell morsmordre and something vast green glittering erupt patch darkness harry eye struggle penetrate flew treetops sky what gasp ron sprang foot stare thing appear,neutral,0.6985163,"{'neutral': 0.6985163, 'negative': 0.26190567, 'positive': 0.039578084}"
3,without pause think yelled duck he seize two pull onto ground stupefy roar twenty voice blind series flash harry feel hair head ripple though powerful wind sweep clearing raise head fraction inch see jet fiery red light fly wizard wand cross one another bounce tree trunk rebound darkness stop yelled voice recognize,neutral,0.8830703,"{'neutral': 0.8830703, 'positive': 0.07603608, 'negative': 0.04089353}"
3,if right mr crouch I think hear get say crouch give sign hear mr diggory mr diggory seem take silence assent he raise wand point winky say rennervate winky stir feebly her great brown eye open blink several time bemuse sort way,neutral,0.8243044,"{'neutral': 0.8243044, 'positive': 0.15152523, 'negative': 0.024170373}"
3,there simple way discover last spell wand perform elf know winky tremble shake head frantically ear flap mr diggory raise wand place tip tip harry prior incantato roar mr diggory harry hear hermione gasp horrify gigantic serpenttongue skull erupt point two wand meet mere shadow green skull high look though make thick gray smoke ghost spell deletrius mr diggory shout smoky skull vanish wisp smoke,neutral,0.8297014,"{'neutral': 0.8297014, 'positive': 0.11429196, 'negative': 0.056006588}"
3,prior incantato roar mr diggory harry hear hermione gasp horrify gigantic serpenttongue skull erupt point two wand meet mere shadow green skull high look though make thick gray smoke ghost spell deletrius mr diggory shout smoky skull vanish wisp smoke so say mr diggory kind savage triumph look upon winky still shake convulsively I squeal eye roll terror,neutral,0.6324184,"{'neutral': 0.6324184, 'negative': 0.24945024, 'positive': 0.11813136}"
3,laugh malfoy beckon crabbe goyle three disappear ron get foot slam slide compartment door hard behind glass shatter ron say hermione reproachfully pull wand mutter reparo glass shard fly back single pane back door well make look like know everything ron snarl,neutral,0.76034343,"{'neutral': 0.76034343, 'negative': 0.17683563, 'positive': 0.06282094}"
3,harry feel ron recoil slightly next ron hate spider moody reach jar catch one spider hold palm hand could see he point wand mutter imperio the spider leapt moody hand fine thread silk begin swe backward forward though trapeze it stretch leg rigidly back flip break thread landing desk begin cartwheel circle,negative,0.54697794,"{'negative': 0.54697794, 'neutral': 0.4346221, 'positive': 0.018399972}"
3,the cruciatus curse say moody need bit big get idea say point wand spider engorgio the spider swell it large tarantula,neutral,0.76644194,"{'neutral': 0.76644194, 'negative': 0.132534, 'positive': 0.101023994}"
3,it large tarantula abandon pretense ron push chair backward far away moody desk possible moody raise wand point spider mutter crucio at spider leg bend upon body roll begin twitch horribly rock side side no sound come harry sure could give voice would scream,neutral,0.6807647,"{'neutral': 0.6807647, 'negative': 0.21538725, 'positive': 0.10384808}"
